id;avg;std;item_count;sec_count;max_unitario;min;total;max
20548624;3.29;0.0;1;1;3.29;3.29;3.29;3.29
74162213;5.122857142857143;1.8506579083875956;7;3;8.59;1.49;35.86;8.59
37234420;2.49;0.0;1;1;2.49;2.49;2.49;2.49
34094618;3.59;2.4000000000000004;2;2;2995;1.19;7.18;5.99
21793229;7.691851851851852;26.740431038526665;54;8;9090.909090909092;0.59;415.36;200.0
36865019;3.769444444444444;1.91440293048431;18;4;18.423076923076927;0.69;67.85;8.94
44356026;3.49;2.5;2;2;5.99;0.99;6.98;5.99
44356226;5.49;0.0;1;1;5.49;5.49;5.49;5.49
32915622;8.940000000000001;5.810401592546479;6;4;42.9295154185022;1.39;53.64000000000001;19.49
44352926;11.603333333333333;5.733930201489687;6;2;20.39;4.09;69.62;20.39
34094118;1.19;0.0;1;1;1.19;1.19;1.19;1.19
37235820;5.718571428571429;6.709756070872639;14;6;91.84397163120569;165;80.06;25.9
44367226;8.790000000000001;5.975505557412416;3;3;17.19;3.79;26.37;17.19
24446616;24.9;0.0;1;1;114.22018348623851;114.22018348623851;24.9;24.9
21792429;5.665806451612902;4.742638964715298;31;6;24.29;0.1895;175.63999999999996;24.29
44353926;23.1;3.450000000000001;2;1;61.74418604651163;6.55;46.2;26.55
20552424;9.428333333333333;5.171574282126823;6;3;17.45;1.39;56.56999999999999;17.45
44359526;9.53;7.2071353532454205;4;2;47.39224137931034;6.129032258064518;38.12;21.99
20552924;7.464999999999999;6.745491704341005;6;5;12.87470725995316;1.29;44.78999999999999;21.99
32920022;7.028571428571428;6.009201108232579;14;4;98.24175824175823;1.4123893805309735;98.39999999999999;22.99
36864619;15.9;0.0;1;1;50.636942675159254;50.636942675159254;15.9;15.9
34093518;18.7;14.2;2;1;286.0869565217391;4.5;37.4;32.9
34095818;4.5;0.0;1;1;1.5;1.5;4.5;4.5
44358826;9.94285714285714;8.252863943220325;7;2;124.51923076923076;0.08499999999999999;69.59999999999998;25.9
